issue_id,university_code,institute_name,universities_raw,primary_layer,category,rca_group_category,issue_title,rca_description,solutioning_direction,status
ISS-100,CDU,Chaitanya Deemed-to-be University,"CDU, Aurora",Learning Design - Learning Platform (Product),Learning Platform,Platform Concurrency & IDE Reliability,English NxtTalk: 30 sec-2 min voice delays; audio quality issues,"Voice pipeline (ASR-LLM-TTS) latency far beyond conversational threshold (~1-2 sec), likely from queueing under load plus unoptimized pipeline. Audio quality issues suggest no client-side audio diagnostics. Latency this high breaks the pedagogical purpose of conversation practice.","One reliability program: provision and load-test every student-facing service at full-cohort concurrency (8,000 IDE instances target); slim images and pre-warm pools; fix evaluation pipeline defects; graceful error handling for AWS/pnpm/internal errors; per-campus health monitoring; resolve third-party rate limits (Kaggle shared IPs).",Pending
ISS-100,Aurora,Aurora University,"CDU, Aurora",Learning Design - Learning Platform (Product),Learning Platform,Platform Concurrency & IDE Reliability,English NxtTalk: 30 sec-2 min voice delays; audio quality issues,"Voice pipeline (ASR-LLM-TTS) latency far beyond conversational threshold (~1-2 sec), likely from queueing under load plus unoptimized pipeline. Audio quality issues suggest no client-side audio diagnostics. Latency this high breaks the pedagogical purpose of conversation practice.","One reliability program: provision and load-test every student-facing service at full-cohort concurrency (8,000 IDE instances target); slim images and pre-warm pools; fix evaluation pipeline defects; graceful error handling for AWS/pnpm/internal errors; per-campus health monitoring; resolve third-party rate limits (Kaggle shared IPs).",Pending
ISS-020,Aurora,Aurora University,Aurora,Learning Design Layer,Content&Curriculum,"Release Quality, Rollout Audits & Issue Feedback Loop","All Courses: Answer explanations missing across practice, quizzes, and exams; 'Show Explanation' feature unavailable","Feature regression plus content gap. The 'Show Explanation' feature broke in a release roughly two months ago and survived because no learning-experience regression checklist or 'explanation shown' telemetry exists. Separately, some assessment items were authored without explanation fields at all, so even after the platform fix those items will still have nothing to surface. Both the platform gate and the content authoring definition-of-done need the fix.","One quality program: learning-experience release regression checklist; rollout completeness audits per course/campus; telemetry on submission success, explanation-shown, and score distributions; issue triage queue with SLAs and reporter feedback; sync quiz unlocks to campus delivery progress.",Pending
ISS-021,Aurora,Aurora University,Aurora,Learning Design Layer,Content&Curriculum,"Release Quality, Rollout Audits & Issue Feedback Loop",All Courses: 'Review your mistakes' feature gone in module quiz,Same regression class: a learning-loop feature was dropped in a release without a deprecation decision. Indicates missing release checklist for pedagogically-critical features.,"One quality program: learning-experience release regression checklist; rollout completeness audits per course/campus; telemetry on submission success, explanation-shown, and score distributions; issue triage queue with SLAs and reporter feedback; sync quiz unlocks to campus delivery progress.",Pending
ISS-033,CDU,Chaitanya Deemed-to-be University,CDU,Scheduling Layer,Content&Curriculum,"Release Quality, Rollout Audits & Issue Feedback Loop",React: Module quiz units locked ~3 weeks after topic is taught,Quiz unlock schedule is configured centrally on a fixed calendar that doesn't track actual campus teaching pace. No mechanism syncs unlocks to delivery progress per campus.,"One quality program: learning-experience release regression checklist; rollout completeness audits per course/campus; telemetry on submission success, explanation-shown, and score distributions; issue triage queue with SLAs and reporter feedback; sync quiz unlocks to campus delivery progress.",Pending
ISS-050,Aurora,Aurora University,Aurora,Learning Design Layer,Content&Curriculum,"Release Quality, Rollout Audits & Issue Feedback Loop",Computer Programming: IDE file-management questions not working,File-management question type has an environment bug (filesystem state/evaluation). No automated smoke tests run on question types per release.,"One quality program: learning-experience release regression checklist; rollout completeness audits per course/campus; telemetry on submission success, explanation-shown, and score distributions; issue triage queue with SLAs and reporter feedback; sync quiz unlocks to campus delivery progress.",Pending
ISS-055,CDU,Chaitanya Deemed-to-be University,CDU,Learning Design - Learning Platform (Product),Content&Curriculum,"Release Quality, Rollout Audits & Issue Feedback Loop",English: Written answers sometimes wrongly scored 0/10,Auto-evaluation bug in written-response scoring (likely parser/rubric matching failure returning zero). No score-distribution monitoring exists to flag anomalous zero spikes.,"One quality program: learning-experience release regression checklist; rollout completeness audits per course/campus; telemetry on submission success, explanation-shown, and score distributions; issue triage queue with SLAs and reporter feedback; sync quiz unlocks to campus delivery progress.",Pending
ISS-059,CDU,Chaitanya Deemed-to-be University,CDU,Learning Design Layer,Content&Curriculum,"Release Quality, Rollout Audits & Issue Feedback Loop",English: Speaking exercises marked complete with 0/5; wrong answers ticked correct,"Completion logic decoupled from score: attempt = complete regardless of result. Evaluation correctness bug compounds it. Both are platform logic defects, masked by absent score-quality monitoring.","One quality program: learning-experience release regression checklist; rollout completeness audits per course/campus; telemetry on submission success, explanation-shown, and score distributions; issue triage queue with SLAs and reporter feedback; sync quiz unlocks to campus delivery progress.",Pending
ISS-064,Aurora,Aurora University,"Aurora, CDU",Learning Design Layer,Content&Curriculum,"Release Quality, Rollout Audits & Issue Feedback Loop",DS&Algo: Visualisers not configured for all users,Visualizer feature rollout is partial - configuration/entitlement gap across cohorts. No rollout completeness check per course per campus.,"One quality program: learning-experience release regression checklist; rollout completeness audits per course/campus; telemetry on submission success, explanation-shown, and score distributions; issue triage queue with SLAs and reporter feedback; sync quiz unlocks to campus delivery progress.",Pending
ISS-064,CDU,Chaitanya Deemed-to-be University,"Aurora, CDU",Learning Design Layer,Content&Curriculum,"Release Quality, Rollout Audits & Issue Feedback Loop",DS&Algo: Visualisers not configured for all users,Visualizer feature rollout is partial - configuration/entitlement gap across cohorts. No rollout completeness check per course per campus.,"One quality program: learning-experience release regression checklist; rollout completeness audits per course/campus; telemetry on submission success, explanation-shown, and score distributions; issue triage queue with SLAs and reporter feedback; sync quiz unlocks to campus delivery progress.",Pending
ISS-065,CDU,Chaitanya Deemed-to-be University,CDU,Learning Design Layer,Content&Curriculum,"Release Quality, Rollout Audits & Issue Feedback Loop",DS&Algo: Video buffering issues; Module 5 missing/incomplete,CDN/streaming performance unmonitored at campus bandwidth conditions. Module 5 shipped incomplete - content completeness gate missing before module go-live.,"One quality program: learning-experience release regression checklist; rollout completeness audits per course/campus; telemetry on submission success, explanation-shown, and score distributions; issue triage queue with SLAs and reporter feedback; sync quiz unlocks to campus delivery progress.",Pending
ISS-083,CDU,Chaitanya Deemed-to-be University,CDU,Learning Design - Learning Platform (Product),Content&Curriculum,"Release Quality, Rollout Audits & Issue Feedback Loop","Observability: React IDE issue reported 3x via admin app, no resolution","Reported issues enter the admin app but there is no triage queue, ownership, SLA, or feedback-to-reporter loop. Reports go into a void, so students stop reporting and trust erodes.","One quality program: learning-experience release regression checklist; rollout completeness audits per course/campus; telemetry on submission success, explanation-shown, and score distributions; issue triage queue with SLAs and reporter feedback; sync quiz unlocks to campus delivery progress.",Pending
ISS-086,CDU,Chaitanya Deemed-to-be University,CDU,Learning Design - Learning Platform (Product),Content&Curriculum,"Release Quality, Rollout Audits & Issue Feedback Loop",Face ID not implemented for all students,Partial feature rollout with no per-student entitlement audit. Rollout completeness isn't verified against the enrolled roster.,"One quality program: learning-experience release regression checklist; rollout completeness audits per course/campus; telemetry on submission success, explanation-shown, and score distributions; issue triage queue with SLAs and reporter feedback; sync quiz unlocks to campus delivery progress.",Pending
ISS-095,Aurora,Aurora University,Aurora,Learning Design - Learning Platform (Product),Learning Platform,"Release Quality, Rollout Audits & Issue Feedback Loop",Some courses lack AI Tutor near sessions,AI Tutor enablement is configured per course manually; no audit verifies coverage across the live catalog. Same partial-rollout pattern as Face ID and visualizers.,"One quality program: learning-experience release regression checklist; rollout completeness audits per course/campus; telemetry on submission success, explanation-shown, and score distributions; issue triage queue with SLAs and reporter feedback; sync quiz unlocks to campus delivery progress.",Pending
ISS-104,Aurora,Aurora University,Aurora,Learning Design - Learning Platform (Product),Learning Platform,"Release Quality, Rollout Audits & Issue Feedback Loop",Search not finding 'Food Munch' links; content not searchable,Search index doesn't cover all content entities (project assets like Food Munch aren't indexed or deep links are broken). Indexing completeness has no QA check.,"One quality program: learning-experience release regression checklist; rollout completeness audits per course/campus; telemetry on submission success, explanation-shown, and score distributions; issue triage queue with SLAs and reporter feedback; sync quiz unlocks to campus delivery progress.",Pending
ISS-092,MRV,Malla Reddy Vishwavidyapeeth,MRV,Learning Design - Learning Platform (Product),Learning Platform,Assessment Integrity (Agentic AI Era),Students completing quizzes and MCQ practice using Comet,"Assessment integrity model predates agentic AI browsers. Quizzes are unproctored client-side experiences with no AI-assistance detection, so completion data is now unreliable as a learning signal.","Redesign assessment integrity for the agentic era: AI-assistance detection or proctoring strategy, assessment formats that stay valid with AI present, cross-browser control coverage.",Pending
ISS-094,Aurora,Aurora University,Aurora,Learning Design - Learning Platform (Product),Learning Platform,Assessment Integrity (Agentic AI Era),Copy/paste of code snippets possible via Safari,Copy/paste restrictions implemented with browser-specific APIs not covered on Safari. Integrity controls weren't cross-browser tested.,"Redesign assessment integrity for the agentic era: AI-assistance detection or proctoring strategy, assessment formats that stay valid with AI present, cross-browser control coverage.",Pending
ISS-018,Aurora,Aurora University,Aurora,Scheduling Layer,Content&Curriculum,Session Time Budget & Hands-on Delivery,Curriculum Design: Spillover teaching eats practice time; no practice after each concept,"Session content is authored at >1hr of delivery for a 1hr slot, so teaching spills into practice time by design. Pedagogy spec (explain-show-practice per concept) exists but content volume makes it impossible for instructors to follow.",Enforce a delivery-time budget (content <= 75% of slot) as a content QA gate; re-author offending sessions to explain-show-practice; rebalance LLM Apps for live coding; publish a theory-vs-hands-on session map so expectations are set correctly.,Pending
ISS-029,Aurora,Aurora University,Aurora,Learning Design Layer,Content&Curriculum,Session Time Budget & Hands-on Delivery,"React: From Lists/Keys onward, no hands-on time during sessions","Slides count is 35-50. Recordings that took, more than 45 mins are divided into 2 sessions in slides. hightest duration session 45 mins in recording. Need to check with the instructors for more insights on what went. Planned a discussion with intensive offline instructors",Enforce a delivery-time budget (content <= 75% of slot) as a content QA gate; re-author offending sessions to explain-show-practice; rebalance LLM Apps for live coding; publish a theory-vs-hands-on session map so expectations are set correctly.,Pending
ISS-030,Aurora,Aurora University,Aurora,Learning Design Layer,Content&Curriculum,Session Time Budget & Hands-on Delivery,"React: Sessions take ~1.5hr, leaving no mentoring or practice time","Slides count is 35-50. Recordings that took, more than 45 mins are divided into 2 sessions in slides. hightest duration session 45 mins in recording. Need to check with the instructors for more insights on what went. Planned a discussion with intensive offline instructors",Enforce a delivery-time budget (content <= 75% of slot) as a content QA gate; re-author offending sessions to explain-show-practice; rebalance LLM Apps for live coding; publish a theory-vs-hands-on session map so expectations are set correctly.,Pending
ISS-038,MRV,Malla Reddy Vishwavidyapeeth,MRV,Learning Design Layer,Content&Curriculum,Session Time Budget & Hands-on Delivery,"GenAI: First 4 sessions boring, theory-only; need hands-on","For Intro to gen AI: The initial four sessions are dedicated to introducing GenAI concepts, while rest of the sessions focus on hands-on (n8n workflows) . Note: To better address such feedback, it would help to have more clarity on which course and units the concern refers to, as hands-on content varies across GenAI courses.",Enforce a delivery-time budget (content <= 75% of slot) as a content QA gate; re-author offending sessions to explain-show-practice; rebalance LLM Apps for live coding; publish a theory-vs-hands-on session map so expectations are set correctly.,Pending
ISS-041,CDU,Chaitanya Deemed-to-be University,CDU,Learning Design Layer,Content&Curriculum,Session Time Budget & Hands-on Delivery,GenAI: Building LLM Apps theory-heavy; pre-coded demos instead of live coding,Providing specific session names in feedback helps us address concerns more effectively.,Enforce a delivery-time budget (content <= 75% of slot) as a content QA gate; re-author offending sessions to explain-show-practice; rebalance LLM Apps for live coding; publish a theory-vs-hands-on session map so expectations are set correctly.,Pending
ISS-042,CDU,Chaitanya Deemed-to-be University,CDU,Learning Design Layer,Content&Curriculum,Session Time Budget & Hands-on Delivery,"GenAI: Building LLM Apps content >50 min, so hands-on skipped",Providing specific session names in feedback helps us address concerns more effectively.,Enforce a delivery-time budget (content <= 75% of slot) as a content QA gate; re-author offending sessions to explain-show-practice; rebalance LLM Apps for live coding; publish a theory-vs-hands-on session map so expectations are set correctly.,Pending
ISS-008,MRV,Malla Reddy Vishwavidyapeeth,MRV,BOS Layer,Content&Curriculum,"Semester Re-baseline, Scheduling Rules & Practice Protection",Curriculum Design: Sem 2 has DS&Algo + React + DBMS simultaneously - too much to comprehend,"Three heavy, unrelated tracks were packed into one semester that is effectively ~4 months after exams. BOS credit requirements forced the load; the academic plan absorbed it by parallelizing instead of sequencing, causing constant context switching.","Re-baseline every semester plan to the post-exam teaching window; protected practice ratio that cannot be rescheduled away; difficulty-weighted hour allocation; hard scheduling rules: no two lectures back-to-back, protected GenAI slots, exam prep buffers, co-curricular/sports slots; quiz adherence tracking.",Pending
ISS-012,MRV,Malla Reddy Vishwavidyapeeth,MRV,Program Ops Layer,Content&Curriculum,"Semester Re-baseline, Scheduling Rules & Practice Protection",Curriculum Design: No dedicated time within 9-4 day for club discussions,"Timetable is 100% allocated to academic delivery. Co-curricular time was never a scheduling constraint in the semester plan, so clubs can only meet outside hours.","Re-baseline every semester plan to the post-exam teaching window; protected practice ratio that cannot be rescheduled away; difficulty-weighted hour allocation; hard scheduling rules: no two lectures back-to-back, protected GenAI slots, exam prep buffers, co-curricular/sports slots; quiz adherence tracking.",Pending
ISS-013,CDU,Chaitanya Deemed-to-be University,CDU,Program Ops Layer,Content&Curriculum,"Semester Re-baseline, Scheduling Rules & Practice Protection",Curriculum Design: No sports period,Same root cause: the academic plan consumed the full day and extra-curriculars were not given a protected slot in the timetable.,"Re-baseline every semester plan to the post-exam teaching window; protected practice ratio that cannot be rescheduled away; difficulty-weighted hour allocation; hard scheduling rules: no two lectures back-to-back, protected GenAI slots, exam prep buffers, co-curricular/sports slots; quiz adherence tracking.",Pending
ISS-014,MRV,Malla Reddy Vishwavidyapeeth,MRV,Academic Planning Layer,Content&Curriculum,"Semester Re-baseline, Scheduling Rules & Practice Protection",Curriculum Design: Semester effectively ~4 months; ~2 months consumed by exams,"University exam calendar (BOS-controlled) consumes ~2 months, but the curriculum plan was scoped for a 6-month semester. The academic plan was not re-baselined to the real teaching window.","Re-baseline every semester plan to the post-exam teaching window; protected practice ratio that cannot be rescheduled away; difficulty-weighted hour allocation; hard scheduling rules: no two lectures back-to-back, protected GenAI slots, exam prep buffers, co-curricular/sports slots; quiz adherence tracking.",Pending
ISS-015,MRV,Malla Reddy Vishwavidyapeeth,MRV,Academic Planning Layer,Content&Curriculum,"Semester Re-baseline, Scheduling Rules & Practice Protection",Curriculum Design: Two mid exams per day; students disconnected during sessions,Sessions are being conducted till the previous day of exam,"Re-baseline every semester plan to the post-exam teaching window; protected practice ratio that cannot be rescheduled away; difficulty-weighted hour allocation; hard scheduling rules: no two lectures back-to-back, protected GenAI slots, exam prep buffers, co-curricular/sports slots; quiz adherence tracking.",Pending
ISS-019,Aurora,Aurora University,Aurora,Scheduling Layer,Content&Curriculum,"Semester Re-baseline, Scheduling Rules & Practice Protection","Curriculum Design: Pacing uneven - slow at term start, rushed at term end",Term plans front-load easy content with generous buffers and back-load hard content with none. No mid-term velocity check exists to rebalance pace before the end-of-term crunch.,"Re-baseline every semester plan to the post-exam teaching window; protected practice ratio that cannot be rescheduled away; difficulty-weighted hour allocation; hard scheduling rules: no two lectures back-to-back, protected GenAI slots, exam prep buffers, co-curricular/sports slots; quiz adherence tracking.",Pending
ISS-023,MRV,Malla Reddy Vishwavidyapeeth,MRV,Academic Planning Layer,Content&Curriculum,"Semester Re-baseline, Scheduling Rules & Practice Protection",All Courses: Back-to-back sessions with no practice between; React pace too fast; JS foundation gaps; Sem 2 overload,"SQL, JS, React, C++ are being taught in a single semester, context switching made it tough. Adding to that schedule adherence issues made it much tougher. Instructor could not complete a session under given slot with handson since content itself is taking > 1hr to deliver","Re-baseline every semester plan to the post-exam teaching window; protected practice ratio that cannot be rescheduled away; difficulty-weighted hour allocation; hard scheduling rules: no two lectures back-to-back, protected GenAI slots, exam prep buffers, co-curricular/sports slots; quiz adherence tracking.",Pending
ISS-024,CDU,Chaitanya Deemed-to-be University,"CDU, MRV, Aurora",Academic Planning Layer,Content&Curriculum,"Semester Re-baseline, Scheduling Rules & Practice Protection",All Courses: Practice session count reduced significantly in second sem,"When the sem-2 syllabus didn't fit the real teaching window, practice hours were cut (~75% of coding practice hours per MRV reports) instead of cutting content scope. Practice was treated as the buffer, not as core pedagogy.","Re-baseline every semester plan to the post-exam teaching window; protected practice ratio that cannot be rescheduled away; difficulty-weighted hour allocation; hard scheduling rules: no two lectures back-to-back, protected GenAI slots, exam prep buffers, co-curricular/sports slots; quiz adherence tracking.",Pending
ISS-024,MRV,Malla Reddy Vishwavidyapeeth,"CDU, MRV, Aurora",Academic Planning Layer,Content&Curriculum,"Semester Re-baseline, Scheduling Rules & Practice Protection",All Courses: Practice session count reduced significantly in second sem,"When the sem-2 syllabus didn't fit the real teaching window, practice hours were cut (~75% of coding practice hours per MRV reports) instead of cutting content scope. Practice was treated as the buffer, not as core pedagogy.","Re-baseline every semester plan to the post-exam teaching window; protected practice ratio that cannot be rescheduled away; difficulty-weighted hour allocation; hard scheduling rules: no two lectures back-to-back, protected GenAI slots, exam prep buffers, co-curricular/sports slots; quiz adherence tracking.",Pending
ISS-024,Aurora,Aurora University,"CDU, MRV, Aurora",Academic Planning Layer,Content&Curriculum,"Semester Re-baseline, Scheduling Rules & Practice Protection",All Courses: Practice session count reduced significantly in second sem,"When the sem-2 syllabus didn't fit the real teaching window, practice hours were cut (~75% of coding practice hours per MRV reports) instead of cutting content scope. Practice was treated as the buffer, not as core pedagogy.","Re-baseline every semester plan to the post-exam teaching window; protected practice ratio that cannot be rescheduled away; difficulty-weighted hour allocation; hard scheduling rules: no two lectures back-to-back, protected GenAI slots, exam prep buffers, co-curricular/sports slots; quiz adherence tracking.",Pending
ISS-026,Aurora,Aurora University,Aurora,Scheduling Layer,Content&Curriculum,"Semester Re-baseline, Scheduling Rules & Practice Protection",All Courses: Module quizzes being skipped,"Quizzes are scheduled but not enforced; when sessions overrun, the quiz slot is the first casualty. No adherence tracking flags skipped quizzes to ops.","Re-baseline every semester plan to the post-exam teaching window; protected practice ratio that cannot be rescheduled away; difficulty-weighted hour allocation; hard scheduling rules: no two lectures back-to-back, protected GenAI slots, exam prep buffers, co-curricular/sports slots; quiz adherence tracking.",Pending
ISS-034,Aurora,Aurora University,Aurora,Academic Planning Layer,Content&Curriculum,"Semester Re-baseline, Scheduling Rules & Practice Protection",React: Time allotted insufficient to cover React,"React's hour allocation was set by available calendar space, not by a bottom-up estimate of concept count x practice time. The course needs either more hours or scope cuts; neither was decided.","Re-baseline every semester plan to the post-exam teaching window; protected practice ratio that cannot be rescheduled away; difficulty-weighted hour allocation; hard scheduling rules: no two lectures back-to-back, protected GenAI slots, exam prep buffers, co-curricular/sports slots; quiz adherence tracking.",Pending
ISS-035,Aurora,Aurora University,Aurora,Academic Planning Layer,Content&Curriculum,"Semester Re-baseline, Scheduling Rules & Practice Protection","React, Programming: Topics rushed - OOPs in 1-1.5 weeks; frontend topics too fast; little hands-on","Compression cascade: fixed end dates + uncut scope = uniform acceleration of every topic. Hard topics (OOPs, hooks) need disproportionate time but the plan allocates roughly linearly.","Re-baseline every semester plan to the post-exam teaching window; protected practice ratio that cannot be rescheduled away; difficulty-weighted hour allocation; hard scheduling rules: no two lectures back-to-back, protected GenAI slots, exam prep buffers, co-curricular/sports slots; quiz adherence tracking.",Pending
ISS-040,Aurora,Aurora University,"Aurora, MRV",Scheduling Layer,Content&Curriculum,"Semester Re-baseline, Scheduling Rules & Practice Protection","GenAI: Sessions inconsistent, always deprioritised; cancellations upset students","GenAI is treated as the lowest-priority track in rescheduling rules: any disruption (exams, missed classes) cannibalizes its slots first. No protected-slot policy exists for it despite high student demand.","Re-baseline every semester plan to the post-exam teaching window; protected practice ratio that cannot be rescheduled away; difficulty-weighted hour allocation; hard scheduling rules: no two lectures back-to-back, protected GenAI slots, exam prep buffers, co-curricular/sports slots; quiz adherence tracking.",Pending
ISS-040,MRV,Malla Reddy Vishwavidyapeeth,"Aurora, MRV",Scheduling Layer,Content&Curriculum,"Semester Re-baseline, Scheduling Rules & Practice Protection","GenAI: Sessions inconsistent, always deprioritised; cancellations upset students","GenAI is treated as the lowest-priority track in rescheduling rules: any disruption (exams, missed classes) cannibalizes its slots first. No protected-slot policy exists for it despite high student demand.","Re-baseline every semester plan to the post-exam teaching window; protected practice ratio that cannot be rescheduled away; difficulty-weighted hour allocation; hard scheduling rules: no two lectures back-to-back, protected GenAI slots, exam prep buffers, co-curricular/sports slots; quiz adherence tracking.",Pending
